学生ID,姓名,风险等级,风险概率,行为模式,风险因素
S0831,赵秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0399,周强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0830,郭敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0401,周杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0402,马平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0412,杨伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0403,郭秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0729,林娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0616,吴军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0407,孙敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0408,高芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0409,吴敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0410,何敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0404,马娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0429,孙强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0360,张霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0357,王娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0866,朱明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0317,赵静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0316,赵强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0867,张娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0314,吴洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0721,马静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0312,刘芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0869,李秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0636,张平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0637,林杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0638,朱涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0307,林霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0306,张霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0305,杨伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0304,张明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0639,王涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0302,陈伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0643,孙秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0576,黄磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0290,刘明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0718,赵强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0877,高杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0719,郭艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0865,张丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0294,徐磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0296,李敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0297,马强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0298,赵平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0299,高伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0720,李明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0301,周涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0875,赵艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0864,马敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0634,何伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0862,周平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0343,张伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0627,林超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0626,何娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0346,罗明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0693,吴勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0348,张明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0628,王磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0724,郭平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0351,高伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0352,马娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0353,王洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0354,陈强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0355,李敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0356,何强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0350,杨丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0847,杨静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0341,杨静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0629,赵平,高风险,1.0,高风险行为,"挂科门数过多, 缺勤次数过多, 选课数量过多"
S0324,周丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0860,朱杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0326,黄丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0327,徐霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0328,郭洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0329,高强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0853,陈秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0632,胡军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0333,吴丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0334,郭芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0856,罗秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0630,李涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0337,赵娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0338,王涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0858,刘强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0814,马平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0611,黄艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0812,吴磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0539,孙伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0538,黄秀英,高风险,1.0,高风险行为,"挂科门数过多, 缺勤次数过多, 选课数量过多"
S0763,朱磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0536,徐艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0535,马芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0534,罗平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0764,吴敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0587,周涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0766,孙艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0530,赵秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0529,刘静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0767,陈静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0527,高超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0768,赵霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0769,徐伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0524,周静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0523,高杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0774,罗娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0510,杨艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0511,黄敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0589,杨杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0513,李强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0514,高涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0762,罗静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0515,黄军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0588,孙丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0518,罗霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0771,林静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0520,徐芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0770,杨霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0522,刘静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0516,胡杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0761,杨芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0542,周洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0760,张敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0749,赵军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0563,高超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0748,周静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0565,高艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0566,徐勇,高风险,1.0,高风险行为,"挂科门数过多, 缺勤次数过多, 选课数量过多"
S0567,李明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0581,孙静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0568,刘勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0747,陈军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0580,徐丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0579,赵敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0744,马芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0578,何强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0575,赵秀英,高风险,1.0,高风险行为,"挂科门数过多, 平均成绩过低, 出勤率过低, 缺勤次数过多"
S0569,高明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0590,赵芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0582,何艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0742,陈勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0759,徐军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0741,陈霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0546,罗秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0547,郭军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0757,胡涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0549,赵强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0559,黄杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0550,黄静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0755,徐杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0553,孙娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0554,马丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0555,林洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0754,孙军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0584,黄磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0585,林磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0740,高涛,高风险,1.0,高风险行为,"挂科门数过多, 平均成绩过低, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0777,何秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0505,杨娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0733,黄杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0453,刘秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0454,朱强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0801,吴丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0800,徐勇,高风险,1.0,高风险行为,"挂科门数过多, 成绩波动较大, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0799,何勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0606,郭涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0798,杨娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0604,徐明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0461,赵勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0603,徐平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0463,郭芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0794,马丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0465,徐娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0797,林静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0602,张娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0450,郭敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0804,吴涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0433,孙静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0811,马平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0435,李娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0436,刘强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0810,马平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0438,何娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0449,王芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0610,李静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0441,朱秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
