id,type,student_id,name,features,week_number,course_name
43,student,S0044,朱涛,"{'node_type': 0, 'age': 22, 'gender_code': 1, 'major_code': 4, 'academic_performance': np.float64(0.6970000000000001), 'study_habit_consistency': 0.6728971962616822}",,
44,student,S0045,陈芳,"{'node_type': 0, 'age': 20, 'gender_code': 1, 'major_code': 7, 'academic_performance': np.float64(0.68), 'study_habit_consistency': 0.6759259259259259}",,
45,student,S0046,朱娟,"{'node_type': 0, 'age': 18, 'gender_code': 1, 'major_code': 3, 'academic_performance': np.float64(0.7275), 'study_habit_consistency': 0.6049382716049383}",,
46,student,S0047,杨涛,"{'node_type': 0, 'age': 24, 'gender_code': 1, 'major_code': 4, 'academic_performance': np.float64(0.7177777777777777), 'study_habit_consistency': 0.6888888888888889}",,
47,student,S0048,胡霞,"{'node_type': 0, 'age': 21, 'gender_code': 0, 'major_code': 2, 'academic_performance': np.float64(0.7283333333333333), 'study_habit_consistency': 0.7155172413793104}",,
48,student,S0049,黄明,"{'node_type': 0, 'age': 24, 'gender_code': 0, 'major_code': 4, 'academic_performance': np.float64(0.6366666666666666), 'study_habit_consistency': 0.6974789915966386}",,
49,student,S0050,王强,"{'node_type': 0, 'age': 19, 'gender_code': 1, 'major_code': 3, 'academic_performance': np.float64(0.7040000000000001), 'study_habit_consistency': 0.7047619047619048}",,
50,student,S0051,刘芳,"{'node_type': 0, 'age': 24, 'gender_code': 0, 'major_code': 4, 'academic_performance': np.float64(0.6966666666666668), 'study_habit_consistency': 0.8032786885245902}",,
51,student,S0052,何静,"{'node_type': 0, 'age': 20, 'gender_code': 0, 'major_code': 6, 'academic_performance': np.float64(0.6981818181818181), 'study_habit_consistency': 0.6428571428571429}",,
52,student,S0053,罗芳,"{'node_type': 0, 'age': 19, 'gender_code': 1, 'major_code': 7, 'academic_performance': np.float64(0.6692307692307692), 'study_habit_consistency': 0.732824427480916}",,
53,student,S0054,胡丽,"{'node_type': 0, 'age': 21, 'gender_code': 0, 'major_code': 7, 'academic_performance': np.float64(0.7133333333333333), 'study_habit_consistency': 0.775}",,
54,student,S0055,王娜,"{'node_type': 0, 'age': 23, 'gender_code': 1, 'major_code': 3, 'academic_performance': np.float64(0.7026666666666667), 'study_habit_consistency': 0.6623376623376623}",,
55,student,S0056,杨娟,"{'node_type': 0, 'age': 25, 'gender_code': 1, 'major_code': 7, 'academic_performance': np.float64(0.6461538461538461), 'study_habit_consistency': 0.75}",,
56,student,S0057,孙军,"{'node_type': 0, 'age': 19, 'gender_code': 0, 'major_code': 6, 'academic_performance': np.float64(0.6583333333333333), 'study_habit_consistency': 0.6666666666666666}",,
57,student,S0058,孙芳,"{'node_type': 0, 'age': 24, 'gender_code': 0, 'major_code': 2, 'academic_performance': np.float64(0.7046666666666667), 'study_habit_consistency': 0.6418918918918919}",,
58,student,S0059,徐磊,"{'node_type': 0, 'age': 24, 'gender_code': 1, 'major_code': 6, 'academic_performance': np.float64(0.698), 'study_habit_consistency': 0.7290322580645161}",,
59,student,S0060,张敏,"{'node_type': 0, 'age': 25, 'gender_code': 1, 'major_code': 7, 'academic_performance': np.float64(0.6428571428571429), 'study_habit_consistency': 0.7007299270072993}",,
60,student,S0061,高勇,"{'node_type': 0, 'age': 21, 'gender_code': 0, 'major_code': 0, 'academic_performance': np.float64(0.7264285714285714), 'study_habit_consistency': 0.7071428571428572}",,
61,student,S0062,孙芳,"{'node_type': 0, 'age': 19, 'gender_code': 1, 'major_code': 1, 'academic_performance': np.float64(0.6914285714285714), 'study_habit_consistency': 0.648854961832061}",,
62,student,S0063,孙娜,"{'node_type': 0, 'age': 24, 'gender_code': 1, 'major_code': 7, 'academic_performance': np.float64(0.7577777777777777), 'study_habit_consistency': 0.6923076923076923}",,
63,student,S0064,罗洋,"{'node_type': 0, 'age': 19, 'gender_code': 1, 'major_code': 0, 'academic_performance': np.float64(0.6940000000000001), 'study_habit_consistency': 0.668918918918919}",,
64,student,S0065,刘伟,"{'node_type': 0, 'age': 19, 'gender_code': 1, 'major_code': 2, 'academic_performance': np.float64(0.70875), 'study_habit_consistency': 0.8076923076923077}",,
65,student,S0066,胡磊,"{'node_type': 0, 'age': 23, 'gender_code': 1, 'major_code': 1, 'academic_performance': np.float64(0.7109090909090909), 'study_habit_consistency': 0.7456140350877193}",,
66,student,S0067,赵洋,"{'node_type': 0, 'age': 23, 'gender_code': 1, 'major_code': 0, 'academic_performance': np.float64(0.7046153846153846), 'study_habit_consistency': 0.6546762589928058}",,
67,student,S0068,徐军,"{'node_type': 0, 'age': 22, 'gender_code': 1, 'major_code': 6, 'academic_performance': np.float64(0.7120000000000001), 'study_habit_consistency': 0.6776315789473685}",,
68,student,S0069,周超,"{'node_type': 0, 'age': 22, 'gender_code': 1, 'major_code': 6, 'academic_performance': np.float64(0.7190909090909091), 'study_habit_consistency': 0.7017543859649122}",,
69,student,S0070,周强,"{'node_type': 0, 'age': 25, 'gender_code': 1, 'major_code': 1, 'academic_performance': np.float64(0.7133333333333333), 'study_habit_consistency': 0.7017543859649122}",,
70,student,S0071,张勇,"{'node_type': 0, 'age': 18, 'gender_code': 1, 'major_code': 6, 'academic_performance': np.float64(0.6725), 'study_habit_consistency': 0.6625}",,
71,student,S0072,吴平,"{'node_type': 0, 'age': 24, 'gender_code': 1, 'major_code': 7, 'academic_performance': np.float64(0.6725), 'study_habit_consistency': 0.7154471544715447}",,
72,student,S0073,李平,"{'node_type': 0, 'age': 21, 'gender_code': 1, 'major_code': 2, 'academic_performance': np.float64(0.7415384615384616), 'study_habit_consistency': 0.6666666666666666}",,
73,student,S0074,王敏,"{'node_type': 0, 'age': 23, 'gender_code': 1, 'major_code': 0, 'academic_performance': np.float64(0.7536363636363635), 'study_habit_consistency': 0.7117117117117117}",,
74,student,S0075,杨芳,"{'node_type': 0, 'age': 24, 'gender_code': 0, 'major_code': 5, 'academic_performance': np.float64(0.7122222222222223), 'study_habit_consistency': 0.7391304347826086}",,
75,student,S0076,李军,"{'node_type': 0, 'age': 25, 'gender_code': 0, 'major_code': 1, 'academic_performance': np.float64(0.74), 'study_habit_consistency': 0.7}",,
76,student,S0077,高敏,"{'node_type': 0, 'age': 24, 'gender_code': 1, 'major_code': 0, 'academic_performance': np.float64(0.80625), 'study_habit_consistency': 0.7866666666666666}",,
77,student,S0078,胡丽,"{'node_type': 0, 'age': 23, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.6842857142857143), 'study_habit_consistency': 0.6222222222222222}",,
78,student,S0079,高芳,"{'node_type': 0, 'age': 25, 'gender_code': 0, 'major_code': 5, 'academic_performance': np.float64(0.67), 'study_habit_consistency': 0.7636363636363637}",,
79,student,S0080,杨勇,"{'node_type': 0, 'age': 18, 'gender_code': 0, 'major_code': 5, 'academic_performance': np.float64(0.6553333333333333), 'study_habit_consistency': 0.7133333333333334}",,
80,student,S0081,杨超,"{'node_type': 0, 'age': 21, 'gender_code': 0, 'major_code': 1, 'academic_performance': np.float64(0.7025), 'study_habit_consistency': 0.6470588235294118}",,
81,student,S0082,周芳,"{'node_type': 0, 'age': 20, 'gender_code': 1, 'major_code': 7, 'academic_performance': np.float64(0.7007692307692308), 'study_habit_consistency': 0.6766917293233082}",,
82,student,S0083,黄敏,"{'node_type': 0, 'age': 25, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.6963636363636364), 'study_habit_consistency': 0.7102803738317757}",,
83,student,S0084,胡敏,"{'node_type': 0, 'age': 20, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.7118181818181819), 'study_habit_consistency': 0.7281553398058253}",,
84,student,S0085,高明,"{'node_type': 0, 'age': 19, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.6875), 'study_habit_consistency': 0.6705882352941176}",,
85,student,S0086,徐芳,"{'node_type': 0, 'age': 23, 'gender_code': 1, 'major_code': 1, 'academic_performance': np.float64(0.72), 'study_habit_consistency': 0.7065217391304348}",,
86,student,S0087,陈洋,"{'node_type': 0, 'age': 23, 'gender_code': 1, 'major_code': 1, 'academic_performance': np.float64(0.68125), 'study_habit_consistency': 0.7108433734939759}",,
87,student,S0088,吴伟,"{'node_type': 0, 'age': 18, 'gender_code': 0, 'major_code': 0, 'academic_performance': np.float64(0.71125), 'study_habit_consistency': 0.6923076923076923}",,
88,student,S0089,刘杰,"{'node_type': 0, 'age': 19, 'gender_code': 0, 'major_code': 2, 'academic_performance': np.float64(0.6858333333333333), 'study_habit_consistency': 0.6818181818181818}",,
89,student,S0090,罗明,"{'node_type': 0, 'age': 21, 'gender_code': 1, 'major_code': 2, 'academic_performance': np.float64(0.692857142857143), 'study_habit_consistency': 0.697841726618705}",,
90,student,S0091,高超,"{'node_type': 0, 'age': 24, 'gender_code': 1, 'major_code': 4, 'academic_performance': np.float64(0.7025), 'study_habit_consistency': 0.7049180327868853}",,
91,student,S0092,朱艳,"{'node_type': 0, 'age': 19, 'gender_code': 0, 'major_code': 2, 'academic_performance': np.float64(0.7036363636363636), 'study_habit_consistency': 0.6833333333333333}",,
92,student,S0093,吴娜,"{'node_type': 0, 'age': 19, 'gender_code': 0, 'major_code': 2, 'academic_performance': np.float64(0.64125), 'study_habit_consistency': 0.7317073170731707}",,
93,student,S0094,徐勇,"{'node_type': 0, 'age': 18, 'gender_code': 0, 'major_code': 0, 'academic_performance': np.float64(0.6578571428571429), 'study_habit_consistency': 0.6830985915492958}",,
94,student,S0095,朱洋,"{'node_type': 0, 'age': 21, 'gender_code': 1, 'major_code': 6, 'academic_performance': np.float64(0.7255555555555556), 'study_habit_consistency': 0.6}",,
95,student,S0096,何平,"{'node_type': 0, 'age': 19, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.7175), 'study_habit_consistency': 0.6790123456790124}",,
96,student,S0097,张杰,"{'node_type': 0, 'age': 24, 'gender_code': 0, 'major_code': 2, 'academic_performance': np.float64(0.7366666666666667), 'study_habit_consistency': 0.6881720430107527}",,
97,student,S0098,胡霞,"{'node_type': 0, 'age': 23, 'gender_code': 1, 'major_code': 6, 'academic_performance': np.float64(0.6873333333333334), 'study_habit_consistency': 0.6797385620915033}",,
98,student,S0099,王丽,"{'node_type': 0, 'age': 19, 'gender_code': 1, 'major_code': 5, 'academic_performance': np.float64(0.6845454545454546), 'study_habit_consistency': 0.7551020408163265}",,
99,student,S0100,徐洋,"{'node_type': 0, 'age': 19, 'gender_code': 1, 'major_code': 6, 'academic_performance': np.float64(0.6791666666666667), 'study_habit_consistency': 0.7241379310344828}",,
100,student,S0101,赵艳,"{'node_type': 0, 'age': 20, 'gender_code': 1, 'major_code': 5, 'academic_performance': np.float64(0.7106666666666667), 'study_habit_consistency': 0.6758620689655173}",,
101,student,S0102,赵娜,"{'node_type': 0, 'age': 23, 'gender_code': 1, 'major_code': 7, 'academic_performance': np.float64(0.703076923076923), 'study_habit_consistency': 0.7175572519083969}",,
102,student,S0103,黄娟,"{'node_type': 0, 'age': 22, 'gender_code': 0, 'major_code': 5, 'academic_performance': np.float64(0.6783333333333332), 'study_habit_consistency': 0.6833333333333333}",,
103,student,S0104,徐杰,"{'node_type': 0, 'age': 19, 'gender_code': 0, 'major_code': 1, 'academic_performance': np.float64(0.6777777777777777), 'study_habit_consistency': 0.7450980392156863}",,
104,student,S0105,胡娟,"{'node_type': 0, 'age': 19, 'gender_code': 0, 'major_code': 0, 'academic_performance': np.float64(0.565), 'study_habit_consistency': 0.6835443037974683}",,
105,student,S0106,徐伟,"{'node_type': 0, 'age': 21, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.6515384615384616), 'study_habit_consistency': 0.6171875}",,
106,student,S0107,胡秀英,"{'node_type': 0, 'age': 24, 'gender_code': 1, 'major_code': 5, 'academic_performance': np.float64(0.73), 'study_habit_consistency': 0.6794871794871795}",,
107,student,S0108,朱磊,"{'node_type': 0, 'age': 24, 'gender_code': 1, 'major_code': 6, 'academic_performance': np.float64(0.702857142857143), 'study_habit_consistency': 0.7205882352941176}",,
108,student,S0109,高娜,"{'node_type': 0, 'age': 22, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.6636363636363636), 'study_habit_consistency': 0.7333333333333333}",,
109,student,S0110,刘丽,"{'node_type': 0, 'age': 22, 'gender_code': 1, 'major_code': 6, 'academic_performance': np.float64(0.7569230769230769), 'study_habit_consistency': 0.696969696969697}",,
110,student,S0111,刘霞,"{'node_type': 0, 'age': 18, 'gender_code': 1, 'major_code': 3, 'academic_performance': np.float64(0.6845454545454546), 'study_habit_consistency': 0.6339285714285714}",,
111,student,S0112,朱霞,"{'node_type': 0, 'age': 19, 'gender_code': 0, 'major_code': 1, 'academic_performance': np.float64(0.6933333333333332), 'study_habit_consistency': 0.7070063694267515}",,
112,student,S0113,刘敏,"{'node_type': 0, 'age': 19, 'gender_code': 1, 'major_code': 6, 'academic_performance': np.float64(0.7533333333333333), 'study_habit_consistency': 0.6987951807228916}",,
113,student,S0114,朱伟,"{'node_type': 0, 'age': 21, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.7545454545454545), 'study_habit_consistency': 0.7321428571428571}",,
114,student,S0115,吴涛,"{'node_type': 0, 'age': 20, 'gender_code': 0, 'major_code': 4, 'academic_performance': np.float64(0.71375), 'study_habit_consistency': 0.7692307692307693}",,
115,student,S0116,孙超,"{'node_type': 0, 'age': 21, 'gender_code': 0, 'major_code': 7, 'academic_performance': np.float64(0.6790909090909091), 'study_habit_consistency': 0.8073394495412844}",,
116,student,S0117,罗强,"{'node_type': 0, 'age': 23, 'gender_code': 0, 'major_code': 1, 'academic_performance': np.float64(0.6785714285714286), 'study_habit_consistency': 0.6993006993006993}",,
117,student,S0118,王秀英,"{'node_type': 0, 'age': 24, 'gender_code': 0, 'major_code': 0, 'academic_performance': np.float64(0.6746666666666666), 'study_habit_consistency': 0.632258064516129}",,
118,student,S0119,孙敏,"{'node_type': 0, 'age': 25, 'gender_code': 0, 'major_code': 6, 'academic_performance': np.float64(0.7711111111111112), 'study_habit_consistency': 0.6206896551724138}",,
119,student,S0120,马秀英,"{'node_type': 0, 'age': 20, 'gender_code': 1, 'major_code': 2, 'academic_performance': np.float64(0.7088888888888889), 'study_habit_consistency': 0.7325581395348837}",,
120,student,S0121,黄超,"{'node_type': 0, 'age': 18, 'gender_code': 1, 'major_code': 0, 'academic_performance': np.float64(0.6844444444444444), 'study_habit_consistency': 0.6477272727272727}",,
121,student,S0122,林伟,"{'node_type': 0, 'age': 24, 'gender_code': 0, 'major_code': 2, 'academic_performance': np.float64(0.6081818181818182), 'study_habit_consistency': 0.7321428571428571}",,
122,student,S0123,郭磊,"{'node_type': 0, 'age': 25, 'gender_code': 1, 'major_code': 7, 'academic_performance': np.float64(0.7223076923076923), 'study_habit_consistency': 0.7244094488188977}",,
123,student,S0124,吴涛,"{'node_type': 0, 'age': 25, 'gender_code': 1, 'major_code': 7, 'academic_performance': np.float64(0.7145454545454545), 'study_habit_consistency': 0.7477477477477478}",,
124,student,S0125,林强,"{'node_type': 0, 'age': 21, 'gender_code': 0, 'major_code': 1, 'academic_performance': np.float64(0.7092307692307692), 'study_habit_consistency': 0.7357142857142858}",,
125,student,S0126,朱艳,"{'node_type': 0, 'age': 20, 'gender_code': 1, 'major_code': 6, 'academic_performance': np.float64(0.7255555555555556), 'study_habit_consistency': 0.7096774193548387}",,
126,student,S0127,孙静,"{'node_type': 0, 'age': 22, 'gender_code': 1, 'major_code': 0, 'academic_performance': np.float64(0.6421428571428571), 'study_habit_consistency': 0.6944444444444444}",,
127,student,S0128,罗艳,"{'node_type': 0, 'age': 19, 'gender_code': 0, 'major_code': 6, 'academic_performance': np.float64(0.6858333333333333), 'study_habit_consistency': 0.7586206896551724}",,
128,student,S0129,郭杰,"{'node_type': 0, 'age': 21, 'gender_code': 0, 'major_code': 2, 'academic_performance': np.float64(0.7492307692307691), 'study_habit_consistency': 0.7878787878787878}",,
129,student,S0130,胡涛,"{'node_type': 0, 'age': 23, 'gender_code': 1, 'major_code': 0, 'academic_performance': np.float64(0.7066666666666667), 'study_habit_consistency': 0.6931818181818182}",,
130,student,S0131,林秀英,"{'node_type': 0, 'age': 21, 'gender_code': 1, 'major_code': 3, 'academic_performance': np.float64(0.7444444444444445), 'study_habit_consistency': 0.6162790697674418}",,
131,student,S0132,马伟,"{'node_type': 0, 'age': 18, 'gender_code': 1, 'major_code': 4, 'academic_performance': np.float64(0.7007692307692308), 'study_habit_consistency': 0.7024793388429752}",,
132,student,S0133,杨丽,"{'node_type': 0, 'age': 18, 'gender_code': 0, 'major_code': 5, 'academic_performance': np.float64(0.7242857142857143), 'study_habit_consistency': 0.6811594202898551}",,
133,student,S0134,马涛,"{'node_type': 0, 'age': 23, 'gender_code': 0, 'major_code': 6, 'academic_performance': np.float64(0.693), 'study_habit_consistency': 0.6862745098039216}",,
134,student,S0135,胡平,"{'node_type': 0, 'age': 20, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.72625), 'study_habit_consistency': 0.6527777777777778}",,
135,student,S0136,徐秀英,"{'node_type': 0, 'age': 24, 'gender_code': 1, 'major_code': 6, 'academic_performance': np.float64(0.7314285714285714), 'study_habit_consistency': 0.6737588652482269}",,
136,student,S0137,朱强,"{'node_type': 0, 'age': 23, 'gender_code': 0, 'major_code': 2, 'academic_performance': np.float64(0.672), 'study_habit_consistency': 0.7483870967741936}",,
137,student,S0138,朱磊,"{'node_type': 0, 'age': 21, 'gender_code': 1, 'major_code': 6, 'academic_performance': np.float64(0.7075), 'study_habit_consistency': 0.717948717948718}",,
138,student,S0139,张洋,"{'node_type': 0, 'age': 22, 'gender_code': 1, 'major_code': 2, 'academic_performance': np.float64(0.7046666666666667), 'study_habit_consistency': 0.689873417721519}",,
139,student,S0140,马超,"{'node_type': 0, 'age': 18, 'gender_code': 0, 'major_code': 7, 'academic_performance': np.float64(0.674), 'study_habit_consistency': 0.6774193548387096}",,
140,student,S0141,高伟,"{'node_type': 0, 'age': 22, 'gender_code': 0, 'major_code': 2, 'academic_performance': np.float64(0.7188888888888889), 'study_habit_consistency': 0.7526881720430108}",,
141,student,S0142,罗静,"{'node_type': 0, 'age': 23, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.7554545454545455), 'study_habit_consistency': 0.7522123893805309}",,
142,student,S0143,杨超,"{'node_type': 0, 'age': 18, 'gender_code': 0, 'major_code': 0, 'academic_performance': np.float64(0.6863636363636364), 'study_habit_consistency': 0.6605504587155964}",,
143,student,S0144,马芳,"{'node_type': 0, 'age': 23, 'gender_code': 1, 'major_code': 4, 'academic_performance': np.float64(0.6454545454545455), 'study_habit_consistency': 0.7129629629629629}",,
144,student,S0145,刘敏,"{'node_type': 0, 'age': 21, 'gender_code': 0, 'major_code': 7, 'academic_performance': np.float64(0.6733333333333333), 'study_habit_consistency': 0.7157894736842105}",,
145,student,S0146,罗静,"{'node_type': 0, 'age': 21, 'gender_code': 1, 'major_code': 3, 'academic_performance': np.float64(0.7271428571428571), 'study_habit_consistency': 0.7142857142857143}",,
146,student,S0147,周勇,"{'node_type': 0, 'age': 21, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.715), 'study_habit_consistency': 0.6788321167883211}",,
147,student,S0148,高超,"{'node_type': 0, 'age': 25, 'gender_code': 0, 'major_code': 0, 'academic_performance': np.float64(0.7363636363636364), 'study_habit_consistency': 0.7647058823529411}",,
148,student,S0149,何娟,"{'node_type': 0, 'age': 18, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.6866666666666668), 'study_habit_consistency': 0.6956521739130435}",,
149,student,S0150,朱敏,"{'node_type': 0, 'age': 18, 'gender_code': 1, 'major_code': 5, 'academic_performance': np.float64(0.6759999999999999), 'study_habit_consistency': 0.7290322580645161}",,
